LON,LAT,Zona Sismica
11.7213,46.624,1
11.7505,46.6244,1
11.7797,46.6248,1
11.8088,46.6252,1
11.838,46.6256,1
11.8672,46.626,1
11.8964,46.6264,1
11.9256,46.6267,1
11.9547,46.6271,1
11.9839,46.6275,1
12.0131,46.6278,1
12.0423,46.6282,1
12.0714,46.6285,1
12.1006,46.6288,1
12.1298,46.6292,1
12.159,46.6295,1
12.1882,46.6298,1
12.2173,46.6301,1
12.2466,46.6304,1
12.2757,46.6307,1
12.3049,46.631,1
12.3341,46.6313,1
12.3633,46.6315,1
12.3925,46.6318,1
12.4216,46.6321,1
12.4508,46.6323,1
12.4801,46.6325,1
12.5092,46.6328,1
12.5384,46.633,1
12.5676,46.6332,1
12.5968,46.6335,1
12.6259,46.6337,1
12.6551,46.6339,1
12.6843,46.6341,1
12.7135,46.6343,1
12.7427,46.6344,1
12.7719,46.6346,1
12.8011,46.6348,1
10.0895,46.5696,2
10.1186,46.5704,2
10.1477,46.5712,2
10.1769,46.5719,2
10.206,46.5727,2
10.2352,46.5735,2
10.2642,46.5743,2
10.4974,46.5802,1
10.5266,46.5809,1
10.5557,46.5816,1
10.5848,46.5822,1
10.6139,46.5829,1
10.6431,46.5836,1
10.6722,46.5843,1
10.7014,46.5849,1
10.7305,46.5856,1
10.7597,46.5863,1
10.7888,46.5869,1
10.818,46.5875,0
10.8471,46.5882,0
10.8763,46.5888,0
10.9054,46.5894,0
10.9346,46.59,0
10.9637,46.5906,0
10.9929,46.5912,0
11.0221,46.5918,0
11.0512,46.5924,0
11.0804,46.593,0
11.1096,46.5935,0
11.1387,46.5941,0
11.1679,46.5946,0
11.197,46.5952,0
11.2261,46.5957,0
11.2553,46.5963,0
11.2845,46.5968,0
11.3136,46.5973,0
11.3428,46.5978,0
11.3719,46.5983,0
11.4011,46.5988,0
11.4302,46.5993,0
11.4594,46.5998,0
11.4886,46.6003,0
11.5178,46.6008,0
11.5469,46.6012,0
11.5761,46.6017,0
11.6053,46.6021,0
11.6344,46.6026,0
11.6636,46.603,0
11.6928,46.6034,1
11.7219,46.6039,1
11.7511,46.6043,1
11.7803,46.6047,1
11.8094,46.6051,1
11.8386,46.6055,1
11.8678,46.6059,1
11.8969,46.6063,1
11.9261,46.6066,1
11.9552,46.607,1
11.9844,46.6074,1
12.0136,46.6077,1
12.0428,46.6081,1
12.072,46.6084,1
12.1011,46.6087,1
12.1303,46.6091,1
12.1595,46.6094,1
12.1886,46.6097,1
12.2178,46.61,1
12.247,46.6103,1
12.2762,46.6106,1
12.3054,46.6109,1
12.3345,46.6112,1
12.3637,46.6114,1
12.3929,46.6117,1
12.422,46.612,1
12.4512,46.6122,1
12.4804,46.6124,1
12.5095,46.6127,1
12.5387,46.6129,1
12.5679,46.6131,1
12.5971,46.6134,1
12.6262,46.6136,1
12.6554,46.6138,1
12.6846,46.614,1
12.7138,46.6142,1
12.743,46.6143,1
12.7722,46.6145,2
12.8013,46.6147,2
12.8305,46.6148,2
10.0906,46.5495,2
10.1197,46.5503,2
10.1489,46.5511,2
10.178,46.5519,2
10.2071,46.5526,2
10.2362,46.5534,2
10.2654,46.5542,2
10.2944,46.5549,2
